catalog,activityID,location,eventTime,submissionTime,versionId,link,instruments
M2M_CATALOG,2021-08-30T16:09:00-IPS-001,STEREO A,2021-08-30T16:09Z,2021-08-31T17:11Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17640/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-09-03T06:19:00-IPS-001,Earth,2021-09-03T06:19Z,2021-09-03T17:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17656/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-09-10T01:32:00-IPS-001,Earth,2021-09-10T01:32Z,2021-09-10T18:55Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17702/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-09-17T01:29:00-IPS-001,Earth,2021-09-17T01:29Z,2021-09-21T14:53Z,6,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17762/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-09-17T16:40:00-IPS-001,STEREO A,2021-09-17T16:40Z,2021-09-18T16:01Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17770/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-09-18T08:01:00-IPS-001,Earth,2021-09-18T08:01Z,2021-09-18T15:16Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17769/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-09-21T23:03:00-IPS-001,Earth,2021-09-21T23:03Z,2021-09-22T22:33Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17798/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-09-26T23:03:00-IPS-001,Earth,2021-09-26T23:03Z,2021-09-27T17:53Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17836/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-09-27T08:00:00-IPS-001,STEREO A,2021-09-27T08:00Z,2021-09-29T18:18Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17837/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-09-27T15:24:00-IPS-001,Earth,2021-09-27T15:24Z,2021-09-29T18:26Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17860/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-09-30T18:00:00-IPS-001,Earth,2021-09-30T18:00Z,2021-10-08T16:58Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17867/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-06T10:26:00-IPS-001,Earth,2021-10-06T10:26Z,2021-10-06T21:02Z,5,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17898/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-10T12:01:00-IPS-001,Earth,2021-10-10T12:01Z,2021-10-10T19:29Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17932/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-12T01:46:00-IPS-001,Earth,2021-10-12T01:46Z,2021-10-12T12:20Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17942/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
